ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13471111,JH276589,05/24/2024 04:20:00 AM,036XX N TALMAN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,LAKEFRONT / WATERFRONT / RIVERBANK,true,false,1921,019,47,5,15,1157931,1924083,2024,05/17/2025 03:40:52 PM,41.947437675,-87.694886927,"(41.947437675, -87.694886927)"
13471394,JH277029,05/24/2024 11:29:00 AM,018XX S RUBLE ST,0460,BATTERY,SIMPLE,STREET,false,false,1235,012,25,31,08B,1172099,1891385,2024,05/17/2025 03:40:52 PM,41.857411135,-87.643775367,"(41.857411135, -87.643775367)"
13462516,JH266306,05/15/2024 11:00:00 AM,020XX N KIMBALL AVE,0810,THEFT,OVER $500,STREET,false,false,1413,014,26,22,06,1153375,1913522,2024,05/17/2025 03:40:52 PM,41.918549364,-87.711915059,"(41.918549364, -87.711915059)"
13466941,JH271678,05/20/2024 10:30:00 AM,003XX W 24TH PL,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,SIDEWALK,false,false,0914,009,11,34,11,1174361,1888046,2024,05/17/2025 03:40:52 PM,41.848198518,-87.635572177,"(41.848198518, -87.635572177)"
13470889,JH276389,05/23/2024 05:10:00 PM,014XX W BALMORAL AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,2013,020,48,77,06,1165425,1935957,2024,05/17/2025 03:40:52 PM,41.979863923,-87.667001542,"(41.979863923, -87.667001542)"
13468940,JH273975,05/22/2024 05:23:00 AM,052XX N CLARK ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,2012,020,40,77,05,1165060,1935105,2024,05/17/2025 03:40:52 PM,41.97753379,-87.668368188,"(41.97753379, -87.668368188)"
13473491,JH279539,05/25/2024 09:00:00 PM,078XX S EAST END AVE,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,ALLEY,false,false,0414,004,8,43,02,1188895,1853432,2024,05/17/2025 03:40:52 PM,41.752878907,-87.58334095,"(41.752878907, -87.58334095)"
13473600,JH279816,05/25/2024 09:00:00 PM,001XX W ONTARIO ST,0810,THEFT,OVER $500,STREET,false,false,1832,018,42,8,06,1174862,1904450,2024,05/17/2025 03:40:52 PM,41.893200979,-87.633242486,"(41.893200979, -87.633242486)"
13470594,JH276227,05/23/2024 05:55:00 PM,031XX N BROADWAY,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,1934,019,44,6,06,1171708,1920879,2024,05/17/2025 03:40:52 PM,41.938353011,-87.644341137,"(41.938353011, -87.644341137)"
13466701,JH269670,05/19/2024 09:45:00 AM,120XX S PERRY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0523,005,9,53,08B,1177763,1825119,2024,05/17/2025 03:40:52 PM,41.675443263,-87.624988506,"(41.675443263, -87.624988506)"
13468407,JH273036,05/21/2024 01:00:00 AM,029XX W 87TH ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,false,false,0835,008,18,70,17,1158265,1846779,2024,05/17/2025 03:40:52 PM,41.735299884,-87.695768531,"(41.735299884, -87.695768531)"
13462032,JH265654,05/15/2024 10:00:00 PM,029XX W ADDISON ST,2090,NARCOTICS,ALTER / FORGE PRESCRIPTION,DRUG STORE,true,false,1733,017,33,21,18,1155985,1923781,2024,05/17/2025 03:40:52 PM,41.94664852,-87.702048122,"(41.94664852, -87.702048122)"
13464526,JH268604,05/18/2024 01:30:00 PM,091XX S THROOP ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,2222,022,21,73,14,1169267,1844137,2024,05/17/2025 03:40:52 PM,41.727819133,-87.655537716,"(41.727819133, -87.655537716)"
